Price,Adj Close,Close,High,Low,Open,Volume
Ticker,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS
Date,,,,,,
2023-04-24 00:00:00+00:00,32820.68359375,35350.0,36000.0,35250.0,35850.0,1125144
2023-04-25 00:00:00+00:00,33099.21875,35650.0,36100.0,35350.0,35550.0,950942
2023-04-26 00:00:00+00:00,32820.68359375,35350.0,35550.0,34800.0,35450.0,885126
2023-04-27 00:00:00+00:00,32402.87890625,34900.0,35250.0,34550.0,35000.0,1092393
2023-04-28 00:00:00+00:00,32449.30859375,34950.0,35600.0,34800.0,34950.0,2038028
2023-05-02 00:00:00+00:00,32913.53125,35450.0,35450.0,34850.0,34900.0,874115
2023-05-03 00:00:00+00:00,32356.458984375,34850.0,35150.0,34800.0,35100.0,671463
2023-05-04 00:00:00+00:00,32542.1484375,35050.0,35150.0,34550.0,34600.0,698652
2023-05-08 00:00:00+00:00,33192.06640625,35750.0,36000.0,35300.0,35300.0,956097
2023-05-09 00:00:00+00:00,33006.375,35550.0,35700.0,35250.0,35450.0,782621
2023-05-10 00:00:00+00:00,32310.0390625,34800.0,35450.0,34600.0,35300.0,1284505
2023-05-11 00:00:00+00:00,32774.26171875,35300.0,35850.0,34950.0,35000.0,1275037
2023-05-12 00:00:00+00:00,32170.7734375,34650.0,35350.0,34550.0,35100.0,2120930
2023-05-15 00:00:00+00:00,32263.611328125,34750.0,34800.0,34400.0,34800.0,1242138
2023-05-16 00:00:00+00:00,32077.923828125,34550.0,35100.0,34500.0,34750.0,1351786
2023-05-17 00:00:00+00:00,32124.34375,34600.0,34850.0,34400.0,34500.0,1446523
2023-05-18 00:00:00+00:00,32402.87890625,34900.0,35050.0,34700.0,34850.0,1022660
2023-05-19 00:00:00+00:00,32681.412109375,35200.0,35250.0,34800.0,34850.0,1025813
2023-05-22 00:00:00+00:00,32774.26171875,35300.0,35600.0,35150.0,35150.0,1045023
2023-05-23 00:00:00+00:00,32727.841796875,35250.0,35600.0,35250.0,35500.0,755032
2023-05-24 00:00:00+00:00,32867.10546875,35400.0,35450.0,35100.0,35250.0,744767
2023-05-25 00:00:00+00:00,32495.7265625,35000.0,35300.0,34900.0,35100.0,1042892
2023-05-26 00:00:00+00:00,32310.0390625,34800.0,35200.0,34800.0,34850.0,955710
2023-05-30 00:00:00+00:00,32681.412109375,35200.0,35450.0,34750.0,34950.0,1499363
2023-05-31 00:00:00+00:00,32542.1484375,35050.0,35700.0,35050.0,35050.0,5709393
2023-06-01 00:00:00+00:00,32217.19140625,34700.0,35350.0,34700.0,35200.0,973040
2023-06-02 00:00:00+00:00,32449.30859375,34950.0,35150.0,34800.0,34900.0,880864
2023-06-05 00:00:00+00:00,32727.841796875,35250.0,35600.0,35250.0,35300.0,993366
2023-06-07 00:00:00+00:00,32681.412109375,35200.0,35700.0,35200.0,35700.0,1198792
2023-06-08 00:00:00+00:00,32774.26171875,35300.0,35400.0,35050.0,35250.0,1325381
2023-06-09 00:00:00+00:00,33145.640625,35700.0,35750.0,35350.0,35400.0,1058322
2023-06-12 00:00:00+00:00,32727.841796875,35250.0,35850.0,35150.0,35750.0,851429
2023-06-13 00:00:00+00:00,32542.1484375,35050.0,35350.0,34950.0,35300.0,1160114
2023-06-14 00:00:00+00:00,32310.0390625,34800.0,35000.0,34600.0,34950.0,1023378
2023-06-15 00:00:00+00:00,32310.0390625,34800.0,35000.0,34700.0,34900.0,966209
2023-06-16 00:00:00+00:00,32310.0390625,34800.0,35250.0,34700.0,35050.0,1931552
2023-06-19 00:00:00+00:00,32077.923828125,34550.0,34900.0,34500.0,34800.0,847961
2023-06-20 00:00:00+00:00,32124.34375,34600.0,34800.0,34500.0,34550.0,588962
2023-06-21 00:00:00+00:00,31799.392578125,34250.0,34650.0,34250.0,34650.0,803220
2023-06-22 00:00:00+00:00,32263.611328125,34750.0,34750.0,34200.0,34400.0,747096
2023-06-23 00:00:00+00:00,31938.65625,34400.0,34700.0,34350.0,34500.0,659800
2023-06-26 00:00:00+00:00,32170.7734375,34650.0,34850.0,34250.0,34400.0,711437
2023-06-27 00:00:00+00:00,32170.7734375,34650.0,34800.0,34300.0,34700.0,825040
2023-06-28 00:00:00+00:00,32217.19140625,34700.0,34900.0,34550.0,34700.0,1090326
2023-06-29 00:00:00+00:00,31910.810546875,33850.0,34500.0,33850.0,34350.0,990007
2023-06-30 00:00:00+00:00,32052.216796875,34000.0,34450.0,33900.0,34200.0,745183
2023-07-03 00:00:00+00:00,32523.5703125,34500.0,34500.0,34100.0,34100.0,736995
2023-07-04 00:00:00+00:00,32146.490234375,34100.0,34500.0,34100.0,34350.0,628623
2023-07-05 00:00:00+00:00,31816.541015625,33750.0,34450.0,33650.0,34150.0,1032890
2023-07-06 00:00:00+00:00,31156.638671875,33050.0,33750.0,32950.0,33750.0,1322547
2023-07-07 00:00:00+00:00,30638.150390625,32500.0,32950.0,32400.0,32900.0,1190725
2023-07-10 00:00:00+00:00,30826.69140625,32700.0,33200.0,32500.0,33100.0,1186474
2023-07-11 00:00:00+00:00,31250.916015625,33150.0,33550.0,32950.0,33400.0,850131
2023-07-12 00:00:00+00:00,31439.453125,33350.0,33450.0,32800.0,33300.0,956132
2023-07-13 00:00:00+00:00,31439.453125,33350.0,33900.0,33350.0,33600.0,1362474
2023-07-14 00:00:00+00:00,32146.490234375,34100.0,34350.0,33600.0,33600.0,1164100
2023-07-17 00:00:00+00:00,32099.357421875,34050.0,34300.0,33850.0,34050.0,608058
2023-07-18 00:00:00+00:00,31675.1328125,33600.0,34450.0,33600.0,34450.0,563437
2023-07-19 00:00:00+00:00,31627.994140625,33550.0,34150.0,33400.0,33950.0,698015
2023-07-20 00:00:00+00:00,31863.673828125,33800.0,33950.0,33500.0,33600.0,709354
2023-07-21 00:00:00+00:00,32005.080078125,33950.0,34450.0,33700.0,34300.0,912094
2023-07-24 00:00:00+00:00,31392.318359375,33300.0,33950.0,33250.0,33800.0,982741
2023-07-25 00:00:00+00:00,31156.638671875,33050.0,33550.0,32900.0,33350.0,1005611
2023-07-26 00:00:00+00:00,31486.58984375,33400.0,33650.0,32450.0,32900.0,1714233
2023-07-27 00:00:00+00:00,33136.33984375,35150.0,35150.0,33450.0,33450.0,2264210
2023-07-28 00:00:00+00:00,32900.65625,34900.0,35050.0,34350.0,34650.0,1414357
2023-07-31 00:00:00+00:00,33042.06640625,35050.0,35150.0,34650.0,34900.0,1144977
2023-08-01 00:00:00+00:00,33890.5078125,35950.0,36000.0,34900.0,35000.0,1693468
2023-08-02 00:00:00+00:00,33560.55859375,35600.0,36000.0,35300.0,35800.0,1338210
2023-08-03 00:00:00+00:00,32947.79296875,34950.0,35700.0,34850.0,35600.0,1154574
2023-08-04 00:00:00+00:00,33089.1953125,35100.0,35450.0,34850.0,34950.0,1204526
2023-08-07 00:00:00+00:00,33513.421875,35550.0,35750.0,34950.0,35100.0,1394643
2023-08-08 00:00:00+00:00,33607.69140625,35650.0,35800.0,35400.0,35800.0,1141287
2023-08-09 00:00:00+00:00,33089.1953125,35100.0,35700.0,35100.0,35500.0,896240
